time,beats,midi_note,midi_vel
1548775733.197788, 0.004344, 48.000000, 126.000000
1548775733.198339, 0.004344, 79.000000, 126.000000
1548775733.492007, 0.234579, 79.000000, 119.000000
1548775733.674292, 0.377933, 79.000000, 114.000000
1548775733.801974, 0.477847, 48.000000, 110.000000
1548775733.818156, 0.490879, 79.000000, 110.000000
1548775733.834878, 0.502736, 55.000000, 109.000000
1548775733.835140, 0.502736, 64.000000, 109.000000
1548775733.835367, 0.502736, 72.000000, 109.000000
1548775734.700401, 0.976903, 55.000000, 86.000000
1548775734.700622, 0.976903, 64.000000, 86.000000
1548775734.700791, 0.976903, 72.000000, 86.000000
1548775734.744309, 1.001994, 55.000000, 84.000000
1548775734.744538, 1.001994, 65.000000, 84.000000
1548775734.744672, 1.001994, 74.000000, 84.000000
1548775735.268600, 1.474323, 74.000000, 69.000000
1548775735.295877, 1.499182, 55.000000, 69.000000
1548775735.296135, 1.499182, 65.000000, 69.000000
1548775735.301753, 1.502448, 48.000000, 68.000000
1548775735.302021, 1.502448, 72.000000, 68.000000
1548775736.194424, 1.974217, 48.000000, 44.000000
1548775736.238518, 1.997659, 72.000000, 43.000000
1548775736.238707, 1.997659, 74.000000, 43.000000
1548775736.244231, 2.000405, 55.000000, 43.000000
1548775736.244394, 2.000405, 64.000000, 43.000000
1548775737.555295, 2.475639, 55.000000, 44.000000
1548775737.555615, 2.475639, 64.000000, 44.000000
1548775737.610555, 2.495776, 74.000000, 44.000000
1548775737.627068, 2.503494, 52.000000, 45.000000
1548775737.627285, 2.503494, 56.000000, 45.000000
1548775737.627525, 2.503494, 62.000000, 45.000000
1548775737.627690, 2.503494, 76.000000, 45.000000
1548775738.301892, 2.972082, 76.000000, 64.000000
1548775738.307629, 2.975955, 52.000000, 64.000000
1548775738.307870, 2.975955, 56.000000, 64.000000
1548775738.308107, 2.975955, 62.000000, 64.000000
1548775738.346619, 3.003687, 33.000000, 66.000000
1548775738.346860, 3.003687, 76.000000, 66.000000
1548775738.769641, 3.357901, 76.000000, 76.000000
1548775738.790822, 3.376544, 76.000000, 77.000000
1548775738.906868, 3.474419, 33.000000, 80.000000
1548775738.929584, 3.493062, 76.000000, 80.000000
1548775738.940390, 3.502499, 52.000000, 81.000000
1548775738.940627, 3.502499, 60.000000, 81.000000
1548775738.940870, 3.502499, 72.000000, 81.000000
1548775739.479931, 3.976586, 52.000000, 86.000000
1548775739.480176, 3.976586, 60.000000, 86.000000
1548775739.480389, 3.976586, 72.000000, 86.000000
1548775739.507088, 4.000980, 52.000000, 86.000000
1548775739.507310, 4.000980, 59.000000, 86.000000
1548775739.507465, 4.000980, 75.000000, 86.000000
1548775740.062149, 4.473975, 52.000000, 84.000000
1548775740.062369, 4.473975, 59.000000, 84.000000
1548775740.089544, 4.497391, 75.000000, 84.000000
1548775740.095216, 4.502157, 45.000000, 83.000000
1548775740.095370, 4.502157, 76.000000, 83.000000
1548775740.496029, 4.857685, 76.000000, 78.000000
1548775740.518465, 4.877166, 76.000000, 77.000000
