time,est_amp,est_freq,est_phase
1571263089.136602, 35.065209, 0.044601, 0.046238
1571263089.180743, 68.647918, 0.051720, 0.046451
1571263089.275953, 129.155249, 0.047788, 2.942146
1571263089.355351, 241.812116, 0.024776, 3.141593
1571263089.394776, 304.621367, 0.017260, 3.141593
1571263089.449359, 337.140589, 0.018522, 3.141593
1571263089.528840, 462.519944, 0.014186, 5.192279
1571263089.594247, 515.426896, 0.016654, 5.395245
1571263089.663681, 567.224529, 0.018227, 5.986693
1571263089.730426, 563.473614, 0.018756, 6.774944
1571263089.796502, 530.184061, 0.020165, 7.448296
1571263089.860925, 532.138968, 0.020328, 8.428133
1571263089.926815, 543.021161, 0.020658, 9.362271
1571263089.993477, 549.351870, 0.020348, 10.422122
1571263090.060218, 548.972281, 0.019912, 11.492075
1571263090.130664, 555.874620, 0.019801, 12.532799
1571263090.197174, 588.733153, 0.018684, 13.738643
1571263090.262888, 608.407662, 0.018189, 14.732226
1571263090.330708, 599.864204, 0.017781, 15.691294
1571263090.397813, 629.021726, 0.017128, 16.754814
1571263090.463693, 691.794125, 0.016492, 17.711448
1571263090.529526, 708.670776, 0.015955, 18.578137
1571263090.596432, 693.522791, 0.014611, 19.654229
1571263090.669048, 721.333712, 0.014175, 20.487938
1571263090.738388, 716.379805, 0.014160, 21.197923
1571263090.820065, 703.103686, 0.014509, 21.868866
1571263090.881227, 707.414566, 0.015050, 22.534314
1571263090.948303, 686.316252, 0.015601, 23.154429
1571263091.034507, 664.162188, 0.015755, 23.904168
1571263091.104235, 658.429872, 0.016146, 24.640930
1571263091.171449, 653.010728, 0.015927, 25.457144
1571263091.244818, 647.291599, 0.015857, 26.254792
1571263091.314099, 649.899538, 0.015818, 27.053564
1571263091.443353, 639.060691, 0.015814, 27.869111
1571263091.519747, 639.223848, 0.015846, 28.665582
1571263091.585820, 629.017463, 0.015904, 29.438754
1571263091.663778, 518.093046, 0.017326, 30.026182
1571263091.745601, 518.681058, 0.016606, 30.949746
1571263091.822803, 493.480412, 0.014883, 31.979082
1571263091.895765, 455.476988, 0.013460, 32.845540
1571263091.961772, 345.691396, 0.011944, 33.671121
1571263092.033875, 275.604633, 0.009089, 34.904486
1571263092.153035, 275.604633, 0.000844, 37.482669
1571263092.185731, 275.604633, 0.001071, 37.482669
1571263092.252097, 275.604633, 0.001315, 37.482671
1571263092.329211, 455.818366, 0.002462, 37.482671
1571263092.384865, 243.163093, 0.008023, 37.482671
1571263092.456357, 281.910495, 0.009969, 37.482671
1571263092.523159, 283.339656, 0.010507, 37.825193
1571263092.597015, 265.590330, 0.010552, 38.341041
1571263092.662222, 252.001941, 0.012578, 38.579003
1571263092.735799, 234.917447, 0.012188, 39.185742
1571263092.806302, 208.696213, 0.011031, 39.915670
1571263092.877866, 183.057294, 0.009576, 40.688063
1571263092.949299, 173.689303, 0.007613, 41.637941
1571263093.020169, 223.130613, 0.005019, 42.687790
1571263093.124982, 223.130613, 0.000500, 43.884683
1571263093.167804, 223.130613, 0.000694, 43.884683
1571263093.237494, 1192.270965, 0.001016, 43.884683
1571263093.300411, 227.813225, 0.007399, 43.884683
1571263093.370707, 318.698000, 0.010387, 43.884683
1571263093.443406, 411.279398, 0.012431, 43.884683
1571263093.507881, 468.838639, 0.014523, 43.921444
1571263093.583391, 469.844869, 0.013277, 44.884218
1571263093.646042, 518.997475, 0.012434, 45.751697
1571263093.720142, 560.541332, 0.012806, 46.309895
1571263093.792822, 623.489410, 0.012933, 46.908783
1571263093.859712, 636.170854, 0.012672, 47.603072
1571263093.939686, 644.451113, 0.013976, 48.038801
1571263094.005981, 684.692803, 0.014448, 48.692785
1571263094.075172, 732.014064, 0.014713, 49.347116
1571263094.151799, 757.526223, 0.015858, 49.867340
1571263094.251489, 785.221067, 0.016714, 50.486901
1571263094.328366, 799.919227, 0.017081, 51.263673
1571263094.416988, 718.747108, 0.018795, 51.886137
1571263094.483510, 743.526103, 0.019764, 52.713671
1571263094.552569, 758.036422, 0.020776, 53.458505
1571263094.621637, 753.533545, 0.021644, 54.244652
1571263094.706027, 754.120352, 0.021570, 55.323089
1571263094.765186, 785.812432, 0.021482, 56.415463
1571263094.834769, 802.314730, 0.020516, 57.723566
1571263094.906038, 806.809037, 0.020637, 58.740647
1571263094.973722, 817.223351, 0.020871, 59.709169
1571263095.046448, 835.239767, 0.020077, 60.851366
1571263095.115061, 847.829328, 0.019228, 61.946260
