time,palm_pos,palm_vel,span
1553636471.076979, 0.000000, 0.000000, 0.000000
1553636471.082203, 0.000000, 0.000000, 0.000000
1553636471.088874, 222.312393, 775.771484, 135.159645
1553636471.094653, 250.851898, 1002.794739, 134.746665
1553636471.099822, 256.795319, 904.780823, 133.964163
1553636471.105209, 262.228546, 820.222229, 131.722731
1553636471.111350, 262.228546, 820.222229, 131.722731
1553636471.116502, 266.674225, 732.002991, 128.670078
1553636471.122208, 266.674225, 732.002991, 128.670078
1553636471.127674, 270.245728, 637.834961, 125.921558
1553636471.137340, 270.245728, 637.834961, 125.921558
1553636471.142467, 274.997162, 454.497498, 121.716021
1553636471.148259, 275.580414, 347.844757, 119.593138
1553636471.153664, 275.580414, 347.844757, 119.593138
1553636471.159403, 275.650604, 254.591217, 117.695434
1553636471.165240, 275.650604, 254.591217, 117.695434
1553636471.170958, 275.632751, 182.947800, 115.567141
1553636471.176321, 272.918243, 50.173550, 113.525818
1553636471.181469, 272.918243, 50.173550, 113.525818
1553636471.186904, 268.913818, -85.764015, 112.183438
1553636471.192283, 263.786530, -212.920410, 111.001416
1553636471.197366, 263.786530, -212.920410, 111.001416
1553636471.202863, 258.983032, -309.852722, 110.309070
1553636471.208542, 258.983032, -309.852722, 110.309070
1553636471.213793, 252.449814, -423.675110, 109.809594
1553636471.219137, 245.764618, -510.595520, 109.586421
1553636471.224421, 245.764618, -510.595520, 109.586421
1553636471.230194, 238.209930, -600.676880, 109.483111
1553636471.235860, 238.209930, -600.676880, 109.483111
1553636471.241529, 230.558960, -667.725952, 109.553874
1553636471.247215, 223.455582, -699.968689, 110.215965
1553636471.252685, 223.455582, -699.968689, 110.215965
1553636471.259211, 216.196045, -726.874817, 111.896822
1553636471.264925, 216.196045, -726.874817, 111.896822
1553636471.270608, 209.372086, -736.508545, 114.594865
1553636471.276335, 203.692703, -707.329712, 117.732504
1553636471.281509, 203.692703, -707.329712, 117.732504
1553636471.286974, 199.162155, -649.539978, 120.535911
1553636471.292273, 199.162155, -649.539978, 120.535911
1553636471.297963, 196.224487, -560.374512, 123.240685
1553636471.303348, 195.067368, -442.080109, 124.838919
1553636471.309040, 195.067368, -442.080109, 124.838919
1553636471.314710, 195.014938, -321.639282, 125.987309
1553636471.320022, 195.014938, -321.639282, 125.987309
1553636471.325108, 195.793167, -209.571915, 126.614954
1553636471.330810, 195.793167, -209.571915, 126.614954
1553636471.336505, 203.698792, 106.595741, 127.127244
1553636471.342269, 203.698792, 106.595741, 127.127244
1553636471.347623, 209.709320, 259.965973, 127.240668
1553636471.352920, 209.709320, 259.965973, 127.240668
1553636471.358130, 216.034927, 381.822723, 127.280860
1553636471.363436, 222.836334, 483.296570, 127.247728
1553636471.369143, 222.836334, 483.296570, 127.247728
1553636471.374800, 229.799881, 563.526733, 127.084803
1553636471.380235, 229.799881, 563.526733, 127.084803
1553636471.385455, 236.796112, 619.502563, 126.670454
1553636471.390795, 243.086502, 642.836670, 125.923699
1553636471.395895, 249.842682, 625.456604, 125.054276
1553636471.401825, 253.308014, 601.961975, 123.965884
1553636471.407573, 253.308014, 601.961975, 123.965884
1553636471.413076, 257.493500, 563.590088, 122.258115
1553636471.418246, 260.587921, 502.906586, 120.406246
1553636471.423810, 260.587921, 502.906586, 120.406246
1553636471.428903, 262.904144, 434.674011, 118.966438
1553636471.434659, 264.140808, 353.752411, 117.526466
1553636471.440353, 264.140808, 353.752411, 117.526466
1553636471.446003, 264.589417, 269.901886, 116.555570
1553636471.451687, 264.589417, 269.901886, 116.555570
1553636471.457259, 264.569458, 194.792450, 115.373217
1553636471.462373, 263.950256, 122.240204, 114.042267
1553636471.467943, 263.950256, 122.240204, 114.042267
1553636471.473658, 263.950256, 122.240204, 114.042267
1553636471.479296, 263.950256, 122.240204, 114.042267
1553636471.484603, 263.950256, 122.240204, 114.042267
1553636471.490310, 250.824203, -253.429794, 112.459773
1553636471.495469, 250.824203, -253.429794, 112.459773
1553636471.500577, 246.606674, -312.542145, 112.077732
1553636471.506025, 241.605972, -378.555756, 111.739986
1553636471.511150, 241.605972, -378.555756, 111.739986
1553636471.516775, 235.806946, -451.956238, 111.543885
1553636471.522571, 235.806946, -451.956238, 111.543885
1553636471.528098, 229.349838, -522.565430, 111.466762
1553636471.533353, 222.880569, -575.759583, 111.502073
1553636471.538464, 222.880569, -575.759583, 111.502073
1553636471.544179, 215.745453, -634.276550, 111.857367
1553636471.549870, 215.745453, -634.276550, 111.857367
1553636471.555387, 208.551498, -679.254761, 112.998917
1553636471.561082, 208.551498, -679.254761, 112.998917
1553636471.566222, 201.839859, -698.667908, 114.615822
1553636471.571787, 195.760818, -690.344116, 116.974775
1553636471.577475, 195.760818, -690.344116, 116.974775
1553636471.582715, 190.811935, -650.489563, 119.084578
1553636471.588525, 187.203690, -581.923584, 121.110840
1553636471.594246, 187.203690, -581.923584, 121.110840
1553636471.599321, 185.207596, -482.956696, 122.954756
1553636471.604398, 185.207596, -482.956696, 122.954756
1553636471.609539, 184.700668, -364.334656, 124.463646
1553636471.615174, 184.859650, -260.033783, 125.629993
1553636471.620414, 184.859650, -260.033783, 125.629993
1553636471.626123, 187.105728, -119.423271, 126.607280
1553636471.631759, 187.105728, -119.423271, 126.607280
1553636471.636941, 191.659454, 52.312538, 127.284545
1553636471.642088, 197.251083, 208.535568, 127.705793
1553636471.647736, 197.251083, 208.535568, 127.705793
1553636471.653416, 203.736618, 348.628662, 127.942181
1553636471.659117, 203.736618, 348.628662, 127.942181
1553636471.664538, 210.839020, 469.614655, 128.038464
1553636471.669651, 218.621460, 577.166199, 128.053496
1553636471.675026, 218.621460, 577.166199, 128.053496
1553636471.680726, 226.378113, 654.843323, 128.042032
1553636471.686429, 233.838547, 700.674744, 127.794561
1553636471.692128, 233.838547, 700.674744, 127.794561
1553636471.697811, 240.684967, 716.814148, 127.340349
1553636471.703261, 240.684967, 716.814148, 127.340349
1553636471.708569, 247.159790, 716.831055, 126.529847
1553636471.714280, 252.740021, 689.051636, 125.221298
1553636471.719965, 252.740021, 689.051636, 125.221298
1553636471.725020, 257.528229, 643.746643, 123.871049
1553636471.730717, 261.193085, 577.925781, 122.411881
1553636471.736383, 261.193085, 577.925781, 122.411881
1553636471.741629, 263.742920, 496.835754, 120.984990
1553636471.747250, 263.742920, 496.835754, 120.984990
1553636471.752962, 265.337646, 409.162628, 119.908046
1553636471.758326, 266.300262, 325.054291, 119.029968
1553636471.763423, 266.300262, 325.054291, 119.029968
1553636471.768570, 266.702118, 248.475082, 118.340662
1553636471.773909, 266.702118, 248.475082, 118.340662
1553636471.779663, 266.748810, 181.872269, 117.721753
1553636471.785374, 266.311310, 118.402184, 117.332947
1553636471.791073, 266.311310, 118.402184, 117.332947
1553636471.796769, 265.529602, 61.778999, 116.676040
1553636471.802449, 265.529602, 61.778999, 116.676040
1553636471.807808, 261.971283, -63.747009, 116.288201
1553636471.812877, 261.971283, -63.747009, 116.288201
1553636471.818598, 257.674835, -177.235977, 116.060389
1553636471.824306, 253.314941, -261.170349, 115.836159
1553636471.830005, 248.409454, -338.423981, 115.697756
1553636471.835680, 248.409454, -338.423981, 115.697756
1553636471.841356, 243.269623, -402.573212, 115.577837
1553636471.846736, 243.269623, -402.573212, 115.577837
1553636471.852486, 237.778534, -458.200043, 115.546079
1553636471.858187, 237.778534, -458.200043, 115.546079
1553636471.863399, 231.961990, -509.206329, 115.541876
1553636471.869110, 226.396042, -538.590271, 115.640214
1553636471.874802, 226.396042, -538.590271, 115.640214
1553636471.879869, 220.342194, -574.974426, 115.829530
1553636471.885073, 220.342194, -574.974426, 115.829530
1553636471.890773, 214.269821, -601.981262, 116.141314
1553636471.896104, 208.343658, -616.132263, 116.589905
1553636471.901443, 208.343658, -616.132263, 116.589905
1553636471.907130, 202.513382, -623.769958, 117.145230
1553636471.912394, 202.513382, -623.769958, 117.145230
1553636471.917515, 197.206070, -613.114624, 117.714194
1553636471.923239, 191.811905, -607.177307, 118.333845
1553636471.928929, 191.811905, -607.177307, 118.333845
1553636471.934198, 186.899857, -591.451599, 119.168127
1553636471.939708, 186.899857, -591.451599, 119.168127
1553636471.945159, 182.454926, -563.483154, 120.113774
1553636471.950556, 178.507843, -529.731201, 121.280947
1553636471.956264, 178.507843, -529.731201, 121.280947
1553636471.961973, 175.019531, -489.386322, 122.604628
1553636471.967639, 172.623322, -428.129486, 123.745859
1553636471.973245, 172.623322, -428.129486, 123.745859
1553636471.978985, 171.195740, -353.313202, 124.893331
1553636471.984089, 171.195740, -353.313202, 124.893331
1553636471.989293, 170.337891, -282.289673, 125.947366
1553636471.994428, 169.966843, -215.424988, 126.692781
