time, phase
1553622781.189499, 0
1553622781.726797, 0
1553622782.127847, 0
1553622782.479797, 0
1553622782.921917, 0
1553622783.640578, 0
1553622784.374700, 0
1553622785.737054, 0
1553622789.279161, 0
1553622789.628279, 0
1553622789.894051, 0
1553622790.090737, 0
1553622790.283333, 0
1553622790.447433, 0
1553622790.605225, 0
1553622790.776446, 0
1553622791.122622, 0
1553622791.909561, 0
1553622792.122996, 0
1553622792.261372, 0
1553622792.827835, 0
1553622793.675498, 0
1553622794.546452, 0
1553622795.277783, 0
1553622795.695296, 0
1553622796.032639, 0
1553622796.334601, 0
1553622796.741386, 0
1553622797.245088, 0
1553622797.681232, 0
1553622797.966292, 0
1553622798.221862, 0
1553622798.462044, 0
1553622798.742641, 0
1553622799.129669, 0
1553622799.506628, 0
1553622799.786642, 0
1553622800.025547, 0
1553622800.253068, 0
1553622800.467970, 0
1553622800.702182, 0
1553622801.313544, 0
1553622801.958016, 0
1553622802.472674, 0
1553622802.731840, 0
1553622802.918392, 0
1553622803.142203, 0
1553622803.315561, 0
1553622803.485113, 0
1553622803.839070, 0
1553622804.016329, 0
1553622804.212702, 0
1553622804.672431, 0
1553622805.057792, 0
1553622805.398867, 0
1553622805.664099, 0
1553622805.904371, 0
1553622806.120126, 0
1553622806.406661, 0
1553622806.789317, 0
1553622807.253728, 0
1553622807.714890, 0
1553622808.209886, 0
1553622808.613877, 0
1553622808.885744, 0
1553622809.121890, 0
1553622809.340664, 0
1553622809.668440, 0
1553622809.967213, 0
1553622810.250381, 0
1553622810.498726, 0
1553622810.748771, 0
1553622811.127038, 0
1553622811.526908, 0
1553622812.004663, 0
1553622812.495693, 0
1553622812.953263, 0
1553622813.302090, 0
1553622813.557548, 0
1553622813.813579, 0
1553622814.083467, 0
1553622814.218035, 0
1553622814.581733, 0
1553622814.857586, 0
1553622815.115152, 0
1553622815.394547, 0
1553622815.698939, 0
1553622816.034802, 0
1553622816.262594, 0
1553622816.465020, 0
1553622816.707214, 0
1553622816.907506, 0
1553622817.122037, 0
