time, beats
1553622778.992721, 0.006400
1553622778.999363, 0.012800
1553622779.005398, 0.019200
1553622779.010753, 0.025600
1553622779.016523, 0.032000
1553622779.022270, 0.038400
1553622779.028157, 0.044800
1553622779.033253, 0.051200
1553622779.038492, 0.057600
1553622779.044199, 0.064000
1553622779.049540, 0.070400
1553622779.055315, 0.076800
1553622779.061015, 0.083200
1553622779.066779, 0.089600
1553622779.073324, 0.096000
1553622779.078859, 0.102400
1553622779.084099, 0.108800
1553622779.089548, 0.115200
1553622779.096340, 0.121600
1553622779.101974, 0.128000
1553622779.107646, 0.134400
1553622779.113568, 0.140800
1553622779.119283, 0.147200
1553622779.124484, 0.153600
1553622779.129927, 0.160000
1553622779.135012, 0.166400
1553622779.140762, 0.172800
1553622779.145996, 0.179200
1553622779.151424, 0.185600
1553622779.157077, 0.192000
1553622779.162789, 0.198400
1553622779.168502, 0.204800
1553622779.174255, 0.211200
1553622779.180038, 0.217600
1553622779.185736, 0.224000
1553622779.191291, 0.230400
1553622779.196351, 0.236800
1553622779.202086, 0.243200
1553622779.207842, 0.249600
1553622779.213549, 0.256000
1553622779.218727, 0.262400
1553622779.223838, 0.268800
1553622779.229537, 0.275200
1553622779.235230, 0.281600
1553622779.240815, 0.288000
1553622779.245975, 0.294400
1553622779.251666, 0.300800
1553622779.257422, 0.307200
1553622779.263241, 0.313600
1553622779.268352, 0.320000
1553622779.273724, 0.326400
1553622779.278880, 0.332800
1553622779.284035, 0.339200
1553622779.289625, 0.345600
1553622779.295326, 0.352000
1553622779.300635, 0.358400
1553622779.306040, 0.364800
1553622779.311242, 0.371200
1553622779.316475, 0.377600
1553622779.321787, 0.384000
1553622779.327521, 0.390400
1553622779.333258, 0.396800
1553622779.338483, 0.403200
1553622779.344224, 0.409600
1553622779.349942, 0.416000
1553622779.355653, 0.422400
1553622779.361335, 0.428800
1553622779.366519, 0.435200
1553622779.372247, 0.441600
1553622779.377674, 0.448000
1553622779.383371, 0.454400
1553622779.388572, 0.460800
1553622779.394288, 0.467200
1553622779.399893, 0.473600
1553622779.405301, 0.480000
1553622779.410801, 0.486400
1553622779.416195, 0.492800
1553622779.422174, 0.499200
1553622779.427911, 0.505600
1553622779.433625, 0.512000
1553622779.438792, 0.518400
1553622779.444494, 0.524800
1553622779.450213, 0.531200
1553622779.455482, 0.537600
1553622779.463442, 0.544000
1553622779.469592, 0.550400
1553622779.474813, 0.556800
1553622779.480533, 0.563200
1553622779.486237, 0.569600
1553622779.491806, 0.576000
1553622779.497520, 0.582400
1553622779.503324, 0.588800
1553622779.508747, 0.595200
1553622779.514049, 0.601600
1553622779.519759, 0.608000
1553622779.525471, 0.614400
1553622779.530765, 0.620800
1553622779.536127, 0.627200
1553622779.541882, 0.633600
1553622779.546984, 0.640000
1553622779.552694, 0.646400
1553622779.558428, 0.652800
1553622779.564141, 0.659200
1553622779.569251, 0.665600
1553622779.574928, 0.672000
1553622779.580654, 0.678400
1553622779.586381, 0.684800
1553622779.592113, 0.691200
1553622779.597809, 0.697600
1553622779.603549, 0.704000
1553622779.608864, 0.710400
1553622779.614275, 0.716800
1553622779.619991, 0.723200
1553622779.625705, 0.729600
1553622779.631122, 0.736000
1553622779.636812, 0.742400
1553622779.642532, 0.748800
1553622779.647915, 0.755200
1553622779.653611, 0.761600
1553622779.658764, 0.768000
1553622779.664077, 0.774400
1553622779.669778, 0.780800
1553622779.675103, 0.787200
1553622779.680849, 0.793600
1553622779.686236, 0.800000
1553622779.691794, 0.806400
