time,beats,midi_note,midi_vel
1553636471.330907, 0.006400, 60.000000, 46.000000
1553636471.813580, 0.250673, 67.000000, 59.000000
1553636471.879950, 0.380818, 67.000000, 56.000000
1553636471.939746, 0.500117, 60.000000, 56.000000
1553636471.939863, 0.500117, 64.000000, 56.000000
1553636472.073899, 0.760408, 69.000000, 60.000000
1553636472.136202, 0.879708, 69.000000, 60.000000
1553636472.208198, 1.000193, 64.000000, 60.000000
1553636472.208314, 1.000193, 67.000000, 60.000000
1553636472.379676, 1.256942, 71.000000, 71.000000
1553636472.465724, 1.381176, 71.000000, 71.000000
1553636472.546830, 1.505409, 60.000000, 71.000000
1553636472.546973, 1.505409, 67.000000, 71.000000
1553636472.715189, 1.753876, 67.000000, 62.000000
1553636472.803752, 1.876932, 67.000000, 62.000000
1553636472.934952, 2.000026, 60.000000, 62.000000
1553636472.935123, 2.000026, 64.000000, 55.000000
1553636473.206762, 2.251341, 69.000000, 46.000000
1553636473.334622, 2.379048, 69.000000, 46.000000
1553636473.444838, 2.505979, 64.000000, 45.000000
1553636473.445005, 2.505979, 67.000000, 45.000000
1553636473.655626, 2.755778, 72.000000, 44.000000
1553636473.730306, 2.875675, 72.000000, 34.000000
1553636473.809720, 3.004795, 60.000000, 34.000000
1553636473.809901, 3.004795, 67.000000, 37.000000
1553636473.929397, 3.262570, 67.000000, 46.000000
1553636473.973203, 3.379083, 67.000000, 46.000000
1553636474.023424, 3.510160, 60.000000, 46.000000
1553636474.023579, 3.510160, 64.000000, 46.000000
1553636474.117003, 3.753836, 69.000000, 42.000000
1553636474.167828, 3.876107, 69.000000, 45.000000
1553636474.221069, 4.011963, 64.000000, 45.000000
1553636474.221255, 4.011963, 67.000000, 45.000000
1553636474.320667, 4.256504, 71.000000, 56.000000
1553636474.371312, 4.384958, 71.000000, 56.000000
1553636474.425045, 4.513412, 60.000000, 56.000000
1553636474.425162, 4.513412, 67.000000, 56.000000
1553636474.518287, 4.756047, 67.000000, 56.000000
1553636474.569248, 4.888310, 67.000000, 56.000000
1553636474.613768, 5.007569, 60.000000, 66.000000
1553636474.613903, 5.007569, 64.000000, 66.000000
1553636474.710255, 5.260996, 69.000000, 66.000000
1553636474.754178, 5.380256, 69.000000, 69.000000
1553636474.803345, 5.506406, 64.000000, 69.000000
1553636474.803653, 5.506406, 67.000000, 69.000000
1553636474.903209, 5.750692, 72.000000, 73.000000
1553636474.957576, 5.886406, 72.000000, 73.000000
1553636475.007709, 6.009504, 60.000000, 73.000000
1553636475.007826, 6.009504, 67.000000, 73.000000
1553636475.108259, 6.262392, 67.000000, 59.000000
1553636475.157766, 6.388835, 67.000000, 59.000000
1553636475.201826, 6.501230, 60.000000, 57.000000
1553636475.201951, 6.501230, 64.000000, 57.000000
1553636475.309725, 6.762415, 69.000000, 57.000000
1553636475.357823, 6.885160, 69.000000, 68.000000
1553636475.409036, 7.007906, 64.000000, 68.000000
1553636475.409150, 7.007906, 67.000000, 68.000000
1553636475.508796, 7.253398, 71.000000, 68.000000
1553636475.559827, 7.376144, 71.000000, 64.000000
1553636475.615671, 7.512528, 60.000000, 64.000000
1553636475.615816, 7.512528, 67.000000, 64.000000
1553636475.776522, 7.752688, 67.000000, 67.000000
1553636475.859525, 7.876908, 67.000000, 67.000000
1553636475.942013, 8.001129, 60.000000, 67.000000
1553636475.942164, 8.001129, 64.000000, 67.000000
1553636476.118543, 8.255727, 69.000000, 67.000000
1553636476.212337, 8.376856, 69.000000, 55.000000
1553636476.312475, 8.505111, 64.000000, 55.000000
1553636476.312614, 8.505111, 67.000000, 55.000000
1553636476.507476, 8.754495, 72.000000, 47.000000
1553636476.602615, 8.876895, 72.000000, 47.000000
1553636476.701696, 9.006579, 60.000000, 50.000000
1553636476.701831, 9.006579, 67.000000, 50.000000
1553636476.888756, 9.251538, 67.000000, 50.000000
1553636476.988917, 9.381222, 67.000000, 53.000000
1553636477.090308, 9.500498, 60.000000, 53.000000
1553636477.090425, 9.500498, 64.000000, 53.000000
1553636477.326412, 9.754520, 69.000000, 50.000000
1553636477.440976, 9.875482, 69.000000, 44.000000
1553636477.557504, 10.002493, 64.000000, 44.000000
1553636477.557676, 10.002493, 67.000000, 44.000000
1553636477.789312, 10.250902, 71.000000, 22.000000
1553636477.914990, 10.380624, 71.000000, 22.000000
1553636478.031715, 10.504449, 60.000000, 22.000000
1553636478.031848, 10.504449, 67.000000, 22.000000
