time, beats
1553622948.131576, 0.006400
1553622948.137334, 0.012800
1553622948.143091, 0.019200
1553622948.149113, 0.025600
1553622948.154854, 0.032000
1553622948.159948, 0.038400
1553622948.165584, 0.044800
1553622948.170726, 0.051200
1553622948.175858, 0.057600
1553622948.181531, 0.064000
1553622948.186993, 0.070400
1553622948.192738, 0.076800
1553622948.198295, 0.083200
1553622948.204033, 0.089600
1553622948.209767, 0.096000
1553622948.215473, 0.102400
1553622948.220600, 0.108800
1553622948.226309, 0.115200
1553622948.232033, 0.121600
1553622948.237789, 0.128000
1553622948.243500, 0.134400
1553622948.249202, 0.140800
1553622948.254927, 0.147200
1553622948.260678, 0.153600
1553622948.266432, 0.160000
1553622948.272153, 0.166400
1553622948.277248, 0.172800
1553622948.282664, 0.179200
1553622948.288379, 0.185600
1553622948.294075, 0.192000
1553622948.299660, 0.198400
1553622948.305379, 0.204800
1553622948.310803, 0.211200
1553622948.315998, 0.217600
1553622948.321706, 0.224000
1553622948.327495, 0.230400
1553622948.333224, 0.236800
1553622948.338937, 0.243200
1553622948.344280, 0.249600
1553622948.349510, 0.256000
1553622948.355184, 0.262400
1553622948.360652, 0.268800
1553622948.365998, 0.275200
1553622948.371706, 0.281600
1553622948.377393, 0.288000
1553622948.382777, 0.294400
1553622948.389270, 0.300800
1553622948.394808, 0.307200
1553622948.400532, 0.313600
1553622948.406291, 0.320000
1553622948.412040, 0.326400
1553622948.417752, 0.332800
1553622948.423996, 0.339200
1553622948.429392, 0.345600
1553622948.435102, 0.352000
1553622948.440390, 0.358400
1553622948.446093, 0.364800
1553622948.451798, 0.371200
1553622948.456883, 0.377600
1553622948.461990, 0.384000
1553622948.467111, 0.390400
1553622948.472731, 0.396800
1553622948.477929, 0.403200
1553622948.483627, 0.409600
1553622948.488823, 0.416000
1553622948.494085, 0.422400
1553622948.499272, 0.428800
1553622948.504690, 0.435200
1553622948.509883, 0.441600
1553622948.515067, 0.448000
1553622948.520794, 0.454400
1553622948.526493, 0.460800
1553622948.531906, 0.467200
1553622948.537588, 0.473600
1553622948.542942, 0.480000
1553622948.548642, 0.486400
1553622948.554369, 0.492800
1553622948.560096, 0.499200
1553622948.565718, 0.505600
1553622948.571422, 0.512000
1553622948.577157, 0.518400
1553622948.582817, 0.524800
1553622948.588509, 0.531200
1553622948.593852, 0.537600
1553622948.598964, 0.544000
1553622948.604708, 0.550400
1553622948.610399, 0.556800
1553622948.616091, 0.563200
1553622948.621197, 0.569600
1553622948.626946, 0.576000
1553622948.632667, 0.582400
1553622948.638416, 0.588800
1553622948.644121, 0.595200
1553622948.649839, 0.601600
1553622948.655557, 0.608000
1553622948.660652, 0.614400
1553622948.666211, 0.620800
1553622948.671928, 0.627200
1553622948.677606, 0.633600
1553622948.683101, 0.640000
1553622948.688815, 0.646400
1553622948.693994, 0.652800
1553622948.699373, 0.659200
1553622948.705289, 0.665600
1553622948.710674, 0.672000
1553622948.716380, 0.678400
1553622948.722082, 0.684800
1553622948.727820, 0.691200
1553622948.733582, 0.697600
1553622948.739291, 0.704000
1553622948.744992, 0.710400
1553622948.750099, 0.716800
1553622948.755790, 0.723200
1553622948.761494, 0.729600
1553622948.767180, 0.736000
1553622948.772909, 0.742400
1553622948.778608, 0.748800
1553622948.784236, 0.755200
1553622948.789427, 0.761600
1553622948.795150, 0.768000
1553622948.800303, 0.774400
1553622948.805531, 0.780800
1553622948.814226, 0.787200
1553622948.819789, 0.793600
1553622948.825543, 0.800000
1553622948.830720, 0.806400
1553622948.836427, 0.812800
1553622948.842165, 0.819200
1553622948.847538, 0.825600
1553622948.853251, 0.832000
1553622948.858960, 0.838400
1553622948.864187, 0.844800
1553622948.869326, 0.851200
1553622948.875036, 0.857600
1553622948.880654, 0.864000
1553622948.886338, 0.870400
1553622948.892066, 0.876800
1553622948.897792, 0.883200
1553622948.902981, 0.889600
1553622948.908334, 0.896000
1553622948.914023, 0.902400
1553622948.919762, 0.908800
1553622948.925479, 0.915200
1553622948.931256, 0.921600
1553622948.936944, 0.928000
