time,est_amp,est_freq,est_phase
1553623012.601285, 12.754746, 0.035232, 0.153219
1553623012.652973, 44.550502, 0.039332, 0.154047
1553623012.730123, 119.758195, 0.043893, 0.595987
1553623012.794101, 203.145471, 0.033259, 0.000000
1553623012.864225, 91.965917, 0.031575, 0.450167
1553623012.936628, 371.305164, 0.016067, 0.000000
1553623012.980476, 460.594426, 0.009535, 2.341582
1553623013.044842, 561.772606, 0.011666, 2.395979
1553623013.109430, 630.866964, 0.012736, 2.716848
1553623013.180316, 599.642007, 0.012491, 3.452828
1553623013.246453, 591.043080, 0.014087, 3.825919
1553623013.310877, 579.903309, 0.015123, 4.310762
1553623013.377430, 600.487107, 0.015208, 5.055113
1553623013.443606, 617.937876, 0.015622, 5.727980
1553623013.511769, 633.060444, 0.016235, 6.401005
1553623013.581835, 649.417350, 0.016744, 7.130013
1553623013.645716, 617.520441, 0.017175, 7.903752
1553623013.711430, 623.559703, 0.018628, 8.581321
1553623013.778194, 668.104660, 0.019561, 9.324547
1553623013.846220, 670.081150, 0.020672, 10.050031
1553623013.921310, 672.960648, 0.021827, 10.901493
1553623013.990426, 695.341017, 0.022180, 11.924639
1553623014.061149, 693.754490, 0.023589, 12.819281
1553623014.133305, 705.257311, 0.024399, 13.837399
1553623014.199257, 758.917946, 0.024488, 15.009485
1553623014.265493, 788.525485, 0.025390, 16.045758
1553623014.335480, 845.798239, 0.025187, 17.348493
1553623014.408329, 858.332885, 0.024603, 18.673972
1553623014.478899, 862.008049, 0.023670, 20.119140
1553623014.544306, 898.203747, 0.023576, 21.301988
1553623014.612939, 899.077835, 0.021981, 22.723389
1553623014.679293, 907.514443, 0.020522, 24.029467
1553623014.746831, 831.837274, 0.019449, 25.274890
1553623014.818120, 849.640083, 0.018377, 26.472270
1553623014.896905, 813.626758, 0.017581, 27.494709
1553623014.962119, 753.277863, 0.015734, 28.704631
1553623015.034087, 730.977826, 0.014761, 29.642963
1553623015.102763, 646.901939, 0.014609, 30.400770
1553623015.170505, 600.518702, 0.014134, 31.262542
1553623015.235753, 593.879693, 0.012984, 32.179450
1553623015.304022, 569.842888, 0.012368, 32.869696
1553623015.372071, 505.922284, 0.011444, 33.585191
1553623015.447838, 481.732721, 0.011019, 34.273274
1553623015.515962, 477.270621, 0.010487, 34.962334
1553623015.587206, 466.090692, 0.010534, 35.497262
1553623015.650680, 443.364026, 0.012228, 35.748422
1553623015.717117, 432.137754, 0.012224, 36.344196
1553623015.787729, 443.460371, 0.012420, 36.917501
1553623015.856448, 442.517661, 0.012662, 37.475463
1553623015.932144, 435.191361, 0.012227, 38.218866
1553623015.998241, 431.616446, 0.012465, 38.782693
1553623016.067142, 419.449493, 0.011938, 39.455873
1553623016.130065, 396.560394, 0.011415, 40.119234
1553623016.197756, 386.405878, 0.011133, 40.751075
1553623016.266438, 383.672997, 0.010239, 41.519405
1553623016.337495, 392.381010, 0.009658, 42.141807
1553623016.403576, 394.220874, 0.009445, 42.654288
1553623016.474583, 390.309366, 0.009120, 43.166729
1553623016.545830, 384.807196, 0.008813, 43.649997
1553623016.613640, 365.008508, 0.008023, 44.207558
1553623016.681727, 354.188416, 0.006775, 44.900258
1553623016.750794, 379.301977, 0.005631, 45.532642
1553623016.847506, 379.301977, 0.001113, 46.856202
1553623016.888260, 1144.598069, 0.001352, 46.856202
1553623016.954965, 645.226303, 0.001892, 46.856202
1553623017.020365, 223.832243, 0.005320, 46.856202
1553623017.085307, 227.166288, 0.005940, 47.020995
1553623017.153184, 220.160134, 0.005180, 47.452718
1553623017.217650, 213.607776, 0.004440, 47.889614
1553623017.286387, 217.948014, 0.005185, 47.944321
1553623017.352295, 215.635821, 0.005077, 48.209489
1553623017.422876, 214.169491, 0.004627, 48.551976
1553623017.491310, 248.963856, 0.003567, 49.095858
1553623017.576798, 438.214692, 0.001940, 49.728772
1553623017.666127, 438.214692, 0.000659, 50.112774
1553623017.705399, 866.956778, 0.000813, 50.112774
1553623017.776764, 458.768026, 0.001177, 50.112774
1553623017.834186, 102.625998, 0.005179, 50.112774
1553623017.905991, 108.902380, 0.006939, 50.112774
1553623017.969891, 104.375221, 0.005961, 50.604359
1553623018.043042, 97.897819, 0.003971, 51.341331
1553623018.109945, 107.214214, 0.002233, 52.075863
1553623018.203191, 320.780636, 0.000500, 53.072666
1553623018.249244, 299.015942, 0.000500, 53.079333
1553623018.314724, 269.813824, 0.000500, 53.079333
1553623018.386336, 242.263161, 0.000500, 53.079333
1553623018.455200, 228.769557, 0.000500, 53.079333
1553623018.532928, 224.016850, 0.000500, 53.079333
1553623018.601969, 220.548226, 0.000500, 53.079333
1553623018.668270, 217.132411, 0.000500, 53.079333
1553623018.733976, 215.525508, 0.000500, 53.079333
1553623018.804563, 218.423167, 0.000500, 53.079333
1553623018.873577, 219.634744, 0.000500, 53.079333
1553623018.946023, 210.657442, 0.000500, 53.079333
1553623019.014308, 195.976085, 0.000500, 53.079333
1553623019.087348, 180.807558, 0.000500, 53.079333
1553623019.155436, 166.431430, 0.000500, 53.079333
1553623019.220160, 155.899011, 0.000500, 53.079333
1553623019.286209, 142.887604, 0.000500, 53.079333
1553623019.354386, 128.763115, 0.000500, 53.079333
1553623019.427057, 126.333541, 0.000500, 53.079333
1553623019.490677, 121.877790, 0.000500, 53.079333
1553623019.565171, 111.646410, 0.000534, 53.079333
1553623019.633831, 108.173604, 0.000677, 53.079333
1553623019.695722, 94.428376, 0.000500, 53.100482
1553623019.762381, 86.076889, 0.000500, 53.100482
1553623019.829616, 85.373490, 0.000500, 53.100482
1553623019.900746, 83.307259, 0.000500, 53.100482
1553623019.970992, 76.085325, 0.000500, 53.100482
1553623020.038764, 78.832743, 0.000500, 53.100482
1553623020.109540, 89.553651, 0.000500, 53.100482
1553623020.171772, 105.353636, 0.000500, 53.100482
1553623020.238422, 104.033440, 0.000500, 53.100482
1553623020.306596, 103.583312, 0.000500, 53.100482
1553623020.374142, 102.692985, 0.000500, 53.100482
1553623020.451710, 108.737240, 0.000710, 53.100482
1553623020.519391, 129.141021, 0.001106, 53.100482
1553623020.611956, 473.091661, 0.000500, 53.310819
1553623020.670024, 864.284302, 0.000500, 53.334134
1553623020.741251, 864.284302, 0.000500, 53.347874
1553623020.801850, 864.284302, 0.000620, 53.347874
1553623020.864387, 864.284302, 0.000819, 53.347874
1553623020.930754, 240.107372, 0.008116, 53.347874
1553623021.000415, 374.705952, 0.011011, 53.347874
1553623021.068162, 378.384153, 0.013457, 53.347874
1553623021.133153, 494.255888, 0.018275, 53.347874
1553623021.201901, 639.663416, 0.021914, 53.347874
1553623021.268790, 727.835777, 0.026102, 53.598979
1553623021.340309, 708.869313, 0.026934, 54.819497
1553623021.411480, 826.846426, 0.029045, 55.891137
1553623021.479702, 843.879040, 0.032162, 56.708734
1553623021.553780, 794.383572, 0.034209, 57.906000
1553623021.616943, 937.634121, 0.037114, 59.162538
1553623021.682220, 954.419835, 0.039727, 60.509154
1553623021.750787, 931.285680, 0.041073, 62.292926
1553623021.820386, 937.260784, 0.042987, 63.956586
1553623021.885081, 1003.881520, 0.044567, 65.835208
1553623021.964703, 970.336005, 0.046626, 67.711849
1553623022.037564, 977.585907, 0.047685, 69.849755
1553623022.105187, 1011.401042, 0.048619, 72.055021
1553623022.177945, 962.640705, 0.049796, 74.252181
1553623022.254428, 942.849453, 0.050583, 76.611608
1553623022.321098, 959.539406, 0.051625, 78.969535
1553623022.391480, 969.934943, 0.052085, 81.484268
1553623022.468346, 977.897496, 0.052558, 83.992246
1553623022.540214, 970.989124, 0.053956, 86.375694
1553623022.611514, 989.645618, 0.054732, 88.922315
1553623022.683966, 1018.735933, 0.055703, 91.495392
1553623022.751141, 1059.880974, 0.056691, 94.115962
1553623022.816841, 1105.827783, 0.057655, 96.776482
1553623022.887645, 1165.323287, 0.057857, 99.561457
1553623022.957295, 1143.491576, 0.058711, 102.310205
1553623023.034689, 1145.546680, 0.059522, 105.149350
1553623023.103184, 1170.824043, 0.060972, 107.884316
1553623023.171786, 1189.762074, 0.062040, 110.762300
1553623023.238018, 1189.762074, 0.062566, 113.729920
1553623023.303335, 1189.762074, 0.062999, 116.725720
1553623023.367238, 1189.762074, 0.063222, 119.782635
1553623023.443255, 1159.299965, 0.062912, 139.800873
1553623023.558535, 144.652631, 0.055533, 140.660877
1553623023.589829, 1146.558797, 0.063763, 141.865953
1553623023.655597, 1138.293518, 0.063259, 149.225651
1553623023.748646, 24.931788, 0.138302, 149.225655
1553623023.796261, 45.871735, 0.144074, 149.225655
