time, phase
1553636573.383269, 0
1553636573.449313, 1
1553636573.518485, 2
1553636573.601865, 3
1553636573.673718, 0
1553636573.743601, 1
1553636573.836675, 2
1553636573.947225, 3
1553636574.057208, 0
1553636574.175998, 1
1553636574.334938, 2
1553636574.490043, 3
1553636574.676351, 0
1553636574.813243, 1
1553636574.956332, 2
1553636575.075813, 3
1553636575.173400, 0
1553636575.258495, 1
1553636575.355010, 2
1553636575.434840, 3
1553636575.508792, 0
1553636575.563203, 1
1553636575.619348, 2
1553636575.676504, 3
1553636575.729408, 0
1553636575.794542, 1
1553636575.845055, 2
1553636575.897084, 3
1553636575.953429, 0
1553636576.003935, 1
1553636576.056967, 2
1553636576.116168, 3
1553636576.172937, 0
1553636576.223446, 1
1553636576.281040, 2
1553636576.340940, 3
1553636576.392093, 0
1553636576.455235, 1
1553636576.512523, 2
1553636576.564392, 3
1553636576.615113, 0
1553636576.661576, 1
1553636576.708072, 2
1553636576.766494, 3
1553636576.824878, 0
1553636576.879412, 1
1553636576.942143, 2
1553636577.004183, 3
1553636577.069808, 0
1553636577.157873, 1
1553636577.267321, 2
1553636577.360516, 3
1553636577.453714, 0
1553636577.539223, 1
1553636577.658113, 2
1553636577.773744, 3
1553636577.906911, 0
1553636577.999746, 1
1553636578.099328, 2
1553636578.205989, 3
1553636578.328030, 0
1553636578.446815, 1
1553636578.579397, 2
1553636578.717991, 3
1553636578.844894, 0
1553636578.961081, 1
1553636579.085911, 2
1553636579.195175, 3
1553636579.375817, 0
1553636579.542646, 1
1553636580.831232, 2
1553636581.170747, 3
1553636581.258701, 0
1553636581.351205, 1
1553636581.450982, 2
1553636581.528371, 3
1553636581.602320, 0
1553636581.664214, 1
1553636581.719575, 2
1553636581.781625, 3
1553636581.838368, 0
1553636581.878440, 1
1553636581.920249, 2
1553636581.972063, 3
1553636582.019246, 0
1553636582.061894, 1
1553636582.103917, 2
1553636582.153298, 3
1553636582.197237, 0
1553636582.246390, 1
1553636582.295686, 2
1553636582.339892, 3
1553636582.388023, 0
1553636582.439032, 1
1553636582.478046, 2
1553636582.523175, 3
1553636582.569460, 0
1553636582.614829, 1
1553636582.666157, 2
1553636582.706907, 3
1553636582.739755, 0
1553636582.796854, 1
1553636582.844566, 2
1553636582.895570, 3
1553636582.945893, 0
1553636583.000001, 1
1553636583.056183, 2
1553636583.138953, 3
1553636583.224254, 0
1553636583.310317, 1
1553636583.402736, 2
1553636583.496690, 3
1553636583.575887, 0
1553636583.646484, 1
1553636583.726089, 2
1553636583.804373, 3
1553636583.877896, 0
1553636583.916216, 1
1553636583.961459, 2
1553636584.029750, 3
1553636584.088564, 0
1553636584.136004, 1
1553636584.184849, 2
1553636584.237619, 3
1553636584.287083, 0
1553636584.331686, 1
1553636584.383523, 2
1553636584.439219, 3
1553636584.495229, 0
1553636584.536169, 1
1553636584.575513, 2
1553636584.633082, 3
1553636584.685727, 0
1553636584.767719, 1
1553636584.864993, 2
1553636584.940819, 3
1553636585.011630, 0
1553636585.098374, 1
1553636585.180798, 2
1553636585.276262, 3
1553636585.358908, 0
1553636585.448423, 1
1553636585.555422, 2
1553636585.677367, 3
1553636585.774382, 0
1553636585.881286, 1
1553636586.011309, 2
1553636586.147201, 3
1553636586.327868, 0
1553636586.449632, 1
1553636586.993756, 2
1553636587.383740, 3
1553636587.697247, 0
1553636587.956987, 1
1553636588.426847, 2
1553636588.942812, 3
1553636589.112561, 0
1553636589.253914, 1
1553636589.612571, 2
1553636589.883368, 3
1553636589.976086, 0
1553636590.065110, 1
1553636590.137621, 2
1553636590.187911, 3
1553636590.238270, 0
1553636590.289372, 1
1553636590.339418, 2
1553636590.383636, 3
1553636590.425273, 0
1553636590.471279, 1
1553636590.510428, 2
1553636590.564839, 3
1553636590.615286, 0
1553636590.651016, 1
1553636590.684253, 2
1553636590.736596, 3
1553636590.789902, 0
1553636590.833218, 1
1553636590.870392, 2
1553636590.928761, 3
1553636590.982281, 0
1553636591.068457, 1
1553636591.232139, 2
1553636591.423665, 3
1553636591.546938, 0
1553636591.611592, 1
1553636591.677468, 2
1553636591.721459, 3
1553636591.763500, 0
1553636591.810545, 1
1553636591.853928, 2
1553636591.909466, 3
1553636591.961087, 0
1553636591.994824, 1
1553636592.028115, 2
1553636592.078331, 3
1553636592.127012, 0
1553636592.175683, 1
1553636592.221136, 2
1553636592.262900, 3
1553636592.308714, 0
1553636592.354622, 1
1553636592.402910, 2
1553636592.458134, 3
1553636592.500038, 0
1553636592.555141, 1
1553636592.612349, 2
1553636592.671209, 3
1553636592.719802, 0
1553636592.798949, 1
1553636592.885799, 2
1553636592.979395, 3
1553636593.059789, 0
1553636593.138857, 1
1553636593.233197, 2
1553636593.336477, 3
1553636593.426812, 0
1553636593.512163, 1
1553636593.597775, 2
1553636593.676836, 3
1553636593.745467, 0
1553636593.806704, 1
1553636593.864839, 2
1553636593.935263, 3
1553636593.988906, 0
1553636594.034954, 1
1553636594.084520, 2
1553636594.138266, 3
1553636594.191373, 0
1553636594.241196, 1
1553636594.300364, 2
1553636594.354355, 3
1553636594.400074, 0
1553636594.458786, 1
1553636594.518710, 2
1553636594.573300, 3
1553636594.621138, 0
1553636594.694405, 1
1553636594.777161, 2
1553636594.862528, 3
1553636594.932001, 0
1553636595.004932, 1
1553636595.081705, 2
1553636595.156429, 3
1553636595.228274, 0
1553636595.315423, 1
1553636595.417331, 2
1553636595.523101, 3
1553636595.631943, 0
1553636595.728546, 1
1553636595.849868, 2
1553636595.962364, 3
1553636596.046774, 0
1553636596.110664, 1
1553636596.179132, 2
1553636596.240603, 3
1553636596.297694, 0
1553636596.355563, 1
1553636596.410553, 2
1553636596.472877, 3
1553636596.525076, 0
1553636596.583400, 1
1553636596.643845, 2
1553636596.692879, 3
1553636596.738203, 0
1553636596.815716, 1
1553636596.894534, 2
1553636596.980649, 3
1553636597.063605, 0
1553636597.137226, 1
1553636597.224411, 2
1553636597.314801, 3
1553636597.390295, 0
1553636597.454177, 1
1553636597.522915, 2
1553636597.589743, 3
1553636597.649294, 0
1553636597.700950, 1
1553636597.752986, 2
1553636597.814198, 3
1553636597.870437, 0
1553636597.939130, 1
1553636597.990647, 2
1553636598.048276, 3
1553636598.108520, 0
1553636598.190601, 1
1553636598.271046, 2
1553636598.344217, 3
1553636598.408203, 0
1553636598.487657, 1
1553636598.571430, 2
1553636598.654898, 3
1553636598.734267, 0
1553636598.818863, 1
1553636598.915650, 2
1553636599.023346, 3
1553636599.119959, 0
1553636599.207044, 1
1553636599.308475, 2
1553636599.403034, 3
1553636599.505850, 0
1553636599.611984, 1
1553636599.731615, 2
1553636599.846997, 3
1553636599.973796, 0
1553636600.090664, 1
1553636600.207135, 2
1553636600.328273, 3
1553636600.442612, 0
1553636600.537433, 1
1553636600.645301, 2
1553636600.729010, 3
1553636600.807403, 0
1553636600.877039, 1
1553636600.948536, 2
1553636601.000529, 3
1553636601.054096, 0
1553636601.110076, 1
1553636601.161707, 2
1553636601.219645, 3
1553636601.269159, 0
1553636601.330200, 1
1553636601.380325, 2
1553636601.432883, 3
1553636601.486369, 0
1553636601.538703, 1
1553636601.586910, 2
1553636601.645103, 3
1553636601.701540, 0
1553636601.757061, 1
1553636601.811771, 2
1553636601.869312, 3
1553636601.919538, 0
1553636601.984827, 1
1553636602.053582, 2
1553636602.116959, 3
1553636602.177943, 0
1553636602.247682, 1
1553636602.328477, 2
1553636602.409378, 3
1553636602.493235, 0
1553636602.568361, 1
1553636602.654359, 2
1553636602.741397, 3
1553636602.819650, 0
1553636602.897125, 1
1553636603.001169, 2
1553636603.093689, 3
1553636603.184864, 0
1553636603.282519, 1
1553636603.403054, 2
1553636603.532466, 3
1553636603.656474, 0
1553636603.766286, 1
1553636603.887669, 2
1553636604.000918, 3
1553636604.112269, 0
1553636604.222200, 1
1553636604.342674, 2
1553636604.465250, 3
1553636604.586757, 0
1553636604.706273, 1
1553636604.855205, 2
1553636604.956910, 3
