time,phase_from_reg,phase_for_plbck,plbck_pos
1553623012.601830, 0.153219, 0.000000, 0.000000
1553623012.653199, 0.154047, 0.000828, 0.000828
1553623012.730496, 0.595987, 0.442768, 0.442768
1553623012.794404, 0.000000, -0.153219, 0.442768
1553623012.864411, 0.450167, 0.296948, 0.442768
1553623012.936896, 0.000000, -0.153219, 0.442768
1553623012.980780, 2.341582, 2.188363, 2.188363
1553623013.045118, 2.395979, 2.242760, 2.242760
1553623013.109609, 2.716848, 2.563629, 2.563629
1553623013.180555, 3.452828, 3.299609, 3.299609
1553623013.246790, 3.825919, 3.672699, 3.672699
1553623013.311061, 4.310762, 4.157543, 4.157543
1553623013.377663, 5.055113, 4.901893, 4.901893
1553623013.443849, 5.727980, 5.574761, 5.574761
1553623013.511991, 6.401005, 6.247786, 6.247786
1553623013.582447, 7.130013, 6.976794, 6.976794
1553623013.645939, 7.903752, 7.750532, 7.750532
1553623013.711656, 8.581321, 8.428101, 8.428101
1553623013.778393, 9.324547, 9.171327, 9.171327
1553623013.846412, 10.050031, 9.896812, 9.896812
1553623013.921536, 10.901493, 10.748274, 10.748274
1553623013.990655, 11.924639, 11.771420, 11.771420
1553623014.061358, 12.819281, 12.666062, 12.666062
1553623014.133597, 13.837399, 13.684180, 13.684180
1553623014.199469, 15.009485, 14.856266, 14.856266
1553623014.265740, 16.045758, 15.892538, 15.892538
1553623014.335695, 17.348493, 17.195274, 17.195274
1553623014.408698, 18.673972, 18.520753, 18.520753
1553623014.479153, 20.119140, 19.965920, 19.965920
1553623014.544561, 21.301988, 21.148769, 21.148769
1553623014.613174, 22.723389, 22.570170, 22.570170
1553623014.679503, 24.029467, 23.876247, 23.876247
1553623014.747054, 25.274890, 25.121671, 25.121671
1553623014.818368, 26.472270, 26.319051, 26.319051
1553623014.897144, 27.494709, 27.341489, 27.341489
1553623014.962291, 28.704631, 28.551412, 28.551412
1553623015.034282, 29.642963, 29.489744, 29.489744
1553623015.102964, 30.400770, 30.247550, 30.247550
1553623015.170686, 31.262542, 31.109323, 31.109323
1553623015.235940, 32.179450, 32.026231, 32.026231
1553623015.304285, 32.869696, 32.716477, 32.716477
1553623015.372260, 33.585191, 33.431971, 33.431971
1553623015.448046, 34.273274, 34.120055, 34.120055
1553623015.516253, 34.962334, 34.809115, 34.809115
1553623015.587481, 35.497262, 35.344042, 35.344042
1553623015.650945, 35.748422, 35.595202, 35.595202
