time,palm_pos,palm_vel,span
1553617652.278758, 0.000000, 0.000000, 0.000000
1553617652.284107, 0.000000, 0.000000, 0.000000
1553617652.289387, 0.000000, 0.000000, 0.000000
1553617652.294567, 0.000000, 0.000000, 0.000000
1553617652.303157, 0.000000, 0.000000, 0.000000
1553617652.309923, 315.390045, 373.955170, 128.312142
1553617652.315362, 316.911102, 320.791382, 127.843299
1553617652.320926, 316.911102, 320.791382, 127.843299
1553617652.326794, 317.961029, 267.389130, 127.216279
1553617652.333501, 317.961029, 267.389130, 127.216279
1553617652.347500, 319.010529, 227.702957, 126.645179
1553617652.352921, 319.010529, 227.702957, 126.645179
1553617652.358855, 319.681183, 186.760605, 125.897497
1553617652.364278, 319.611298, 112.780121, 124.870096
1553617652.369707, 318.929169, 53.610039, 124.000076
1553617652.375006, 318.929169, 53.610039, 124.000076
1553617652.380463, 317.858459, 6.383812, 123.425776
1553617652.386354, 314.880768, -86.821060, 122.725772
1553617652.391887, 314.880768, -86.821060, 122.725772
1553617652.398112, 311.482056, -167.772598, 121.945466
1553617652.404603, 311.482056, -167.772598, 121.945466
1553617652.411791, 311.482056, -167.772598, 121.945466
1553617652.418550, 311.482056, -167.772598, 121.945466
1553617652.424274, 308.789154, -205.793106, 121.306090
1553617652.430309, 304.300720, -282.714508, 120.678750
1553617652.435807, 293.849792, -438.266205, 120.179577
1553617652.441182, 289.240021, -463.088684, 119.984435
1553617652.446486, 284.393005, -488.147644, 119.810725
1553617652.451794, 284.393005, -488.147644, 119.810725
1553617652.457118, 278.982605, -525.104187, 119.679706
1553617652.462611, 273.449615, -554.417114, 119.393617
1553617652.467960, 273.449615, -554.417114, 119.393617
1553617652.473360, 268.508423, -558.283875, 119.233150
1553617652.478730, 268.508423, -558.283875, 119.233150
1553617652.484548, 263.576721, -561.499878, 119.234931
1553617652.489998, 258.373810, -572.412476, 119.325956
1553617652.495312, 258.373810, -572.412476, 119.325956
1553617652.500892, 253.126053, -580.924622, 119.388339
1553617652.506199, 247.870438, -586.890564, 119.420667
1553617652.512017, 247.870438, -586.890564, 119.420667
1553617652.517383, 242.669388, -590.962708, 119.563828
1553617652.522805, 242.669388, -590.962708, 119.563828
1553617652.528214, 237.461014, -592.019470, 119.904028
1553617652.533447, 232.262833, -595.720398, 120.086879
1553617652.538745, 232.262833, -595.720398, 120.086879
1553617652.544512, 227.145859, -593.866882, 120.403261
1553617652.550062, 227.145859, -593.866882, 120.403261
1553617652.555353, 221.679550, -588.648865, 120.748079
1553617652.560777, 217.386826, -577.551758, 121.007532
1553617652.566080, 217.386826, -577.551758, 121.007532
1553617652.571428, 212.759354, -565.300964, 121.154056
1553617652.576789, 208.362564, -551.692383, 121.325200
1553617652.582223, 208.362564, -551.692383, 121.325200
1553617652.587701, 204.082581, -535.222595, 121.476813
1553617652.592980, 199.897293, -522.216248, 121.744364
1553617652.598221, 199.897293, -522.216248, 121.744364
1553617652.603645, 195.964279, -503.455902, 122.058078
1553617652.608901, 195.964279, -503.455902, 122.058078
1553617652.614812, 191.937775, -492.172058, 122.293037
1553617652.620221, 188.363525, -471.903595, 122.803616
1553617652.625680, 188.363525, -471.903595, 122.803616
1553617652.631207, 185.102921, -447.047211, 123.374897
1553617652.636774, 182.310333, -413.364471, 123.748538
1553617652.642073, 182.310333, -413.364471, 123.748538
1553617652.647405, 180.061966, -371.876648, 124.158690
1553617652.652859, 180.061966, -371.876648, 124.158690
1553617652.658237, 178.333206, -325.859741, 124.606657
1553617652.663578, 176.796478, -287.236023, 124.851800
1553617652.669457, 176.796478, -287.236023, 124.851800
1553617652.675507, 175.551086, -245.049530, 125.031895
1553617652.680770, 174.632812, -211.180084, 125.123206
1553617652.686101, 174.632812, -211.180084, 125.123206
1553617652.691422, 173.940765, -176.457596, 125.227590
1553617652.696947, 173.585815, -140.137405, 125.279662
1553617652.702419, 173.585815, -140.137405, 125.279662
1553617652.708027, 173.371857, -109.528107, 125.369587
1553617652.713480, 173.371857, -109.528107, 125.369587
1553617652.719027, 173.333969, -81.637672, 125.556526
1553617652.724476, 173.354843, -59.184086, 125.760399
1553617652.730003, 173.354843, -59.184086, 125.760399
1553617652.735355, 173.521103, -38.339584, 126.084923
1553617652.740699, 173.521103, -38.339584, 126.084923
1553617652.746118, 174.390213, -1.436520, 126.755563
1553617652.751499, 175.827621, 43.090141, 127.360235
1553617652.756859, 175.827621, 43.090141, 127.360235
1553617652.762875, 178.062393, 100.177162, 127.944091
1553617652.768143, 181.369125, 175.201782, 128.475863
1553617652.773960, 181.369125, 175.201782, 128.475863
1553617652.779721, 185.248016, 247.253235, 129.060525
1553617652.784987, 189.134918, 300.794159, 129.500206
1553617652.790304, 189.134918, 300.794159, 129.500206
1553617652.795750, 193.714417, 361.641815, 129.963875
1553617652.801000, 193.714417, 361.641815, 129.963875
1553617652.806353, 198.363007, 407.672791, 130.118630
1553617652.811775, 203.388519, 453.389587, 130.524057
1553617652.817101, 203.388519, 453.389587, 130.524057
1553617652.822433, 208.552719, 490.573090, 130.998457
1553617652.828254, 208.552719, 490.573090, 130.998457
1553617652.833994, 208.552719, 490.573090, 130.998457
1553617652.841969, 208.552719, 490.573090, 130.998457
1553617652.852152, 213.784195, 520.661865, 131.348713
1553617652.857957, 213.784195, 520.661865, 131.348713
1553617652.863814, 219.235504, 550.617004, 131.531379
1553617652.869303, 240.310593, 707.648315, 132.314564
1553617652.874826, 240.310593, 707.648315, 132.314564
1553617652.880264, 240.310593, 707.648315, 132.314564
1553617652.885616, 240.310593, 707.648315, 132.314564
1553617652.890877, 258.022369, 691.060425, 132.969371
1553617652.896273, 258.022369, 691.060425, 132.969371
1553617652.901796, 262.196899, 634.506714, 133.166881
1553617652.908053, 262.196899, 634.506714, 133.166881
1553617652.913352, 266.297485, 592.362671, 133.310481
1553617652.919047, 270.443573, 557.514954, 133.076915
1553617652.924340, 274.242706, 529.201355, 132.741796
1553617652.929850, 274.242706, 529.201355, 132.741796
1553617652.935826, 277.905762, 500.503906, 132.048637
1553617652.941127, 281.275208, 470.330872, 131.234030
1553617652.946349, 281.275208, 470.330872, 131.234030
1553617652.951621, 283.939270, 427.959991, 130.154861
1553617652.957377, 285.930939, 375.498840, 129.159768
1553617652.962654, 285.930939, 375.498840, 129.159768
1553617652.968218, 287.446960, 321.525421, 128.441696
1553617652.973682, 287.446960, 321.525421, 128.441696
1553617652.979217, 288.356476, 263.710175, 127.453856
1553617652.984626, 288.866516, 208.383057, 126.595325
1553617652.990193, 288.866516, 208.383057, 126.595325
1553617652.995536, 289.120697, 161.553436, 125.925563
1553617653.000859, 289.214966, 121.173843, 124.948591
1553617653.006280, 289.214966, 121.173843, 124.948591
1553617653.011888, 289.174469, 88.029076, 123.925601
1553617653.017190, 288.638031, 48.133224, 122.926359
1553617653.022557, 288.638031, 48.133224, 122.926359
1553617653.028109, 286.771759, -21.963963, 122.030553
1553617653.033524, 286.771759, -21.963963, 122.030553
1553617653.039862, 284.136963, -97.154762, 121.055480
1553617653.045960, 284.136963, -97.154762, 121.055480
1553617653.051343, 280.463318, -183.969955, 120.349860
1553617653.057274, 276.368866, -261.103668, 119.869841
1553617653.062724, 271.583923, -337.772675, 118.979802
1553617653.068170, 271.583923, -337.772675, 118.979802
1553617653.073487, 266.821350, -394.019531, 118.395520
1553617653.078948, 261.826630, -441.933533, 118.013531
1553617653.084268, 261.826630, -441.933533, 118.013531
1553617653.089709, 256.445679, -490.432098, 117.793723
1553617653.095052, 256.445679, -490.432098, 117.793723
1553617653.100896, 250.851685, -529.717224, 117.174164
1553617653.106315, 245.226395, -562.827454, 116.906077
1553617653.111535, 245.226395, -562.827454, 116.906077
1553617653.116807, 239.224594, -596.574890, 116.808634
1553617653.122278, 233.341278, -618.948792, 116.844283
1553617653.128044, 233.341278, -618.948792, 116.844283
1553617653.133461, 227.570419, -632.129822, 116.891716
1553617653.138811, 227.570419, -632.129822, 116.891716
1553617653.144243, 221.792984, -640.768616, 117.114446
1553617653.149627, 216.100739, -643.802246, 117.430399
