rater,question,likert
1,q1,4
2,q1,4
3,q1,5
4,q1,5
5,q1,5
6,q1,1
7,q1,4
8,q1,5
9,q1,4
10,q1,4
11,q1,5
12,q1,4
13,q1,4
14,q1,2
15,q1,5
16,q1,5
17,q1,1
22,q1,5
18,q1,2
19,q1,4
20,q1,5
1,q2,5
2,q2,2
3,q2,4
4,q2,5
5,q2,5
6,q2,3
7,q2,3
8,q2,4
9,q2,4
10,q2,4
11,q2,5
12,q2,4
13,q2,5
14,q2,3
15,q2,5
16,q2,4
17,q2,1
22,q2,5
18,q2,2
19,q2,5
20,q2,4
1,q3,5
2,q3,5
3,q3,4
4,q3,5
5,q3,5
6,q3,4
7,q3,4
8,q3,5
9,q3,5
10,q3,5
11,q3,5
12,q3,5
13,q3,4
14,q3,2
15,q3,5
16,q3,5
17,q3,2
22,q3,5
18,q3,4
19,q3,5
20,q3,4
1,q4,4
2,q4,5
3,q4,5
4,q4,5
5,q4,5
6,q4,3
7,q4,4
8,q4,5
9,q4,5
10,q4,5
11,q4,4
12,q4,5
13,q4,4
14,q4,2
15,q4,5
16,q4,5
17,q4,2
22,q4,5
18,q4,3
19,q4,4
20,q4,4
1,q5,2
2,q5,3
3,q5,5
4,q5,4
5,q5,4
6,q5,4
7,q5,5
8,q5,5
9,q5,5
10,q5,5
11,q5,4
12,q5,5
13,q5,3
14,q5,1
15,q5,5
16,q5,5
17,q5,3
22,q5,5
18,q5,2
19,q5,5
20,q5,3
1,q6,1
2,q6,4
3,q6,4
4,q6,5
5,q6,5
6,q6,5
7,q6,4
8,q6,4
9,q6,5
10,q6,5
11,q6,3
12,q6,3
13,q6,5
14,q6,1
15,q6,5
16,q6,5
17,q6,2
22,q6,5
18,q6,3
19,q6,5
20,q6,4
1,q7,2
2,q7,3
3,q7,4
4,q7,5
5,q7,4
6,q7,3
7,q7,5
8,q7,5
9,q7,5
10,q7,5
11,q7,4
12,q7,5
13,q7,5
14,q7,1
15,q7,5
16,q7,5
17,q7,4
22,q7,5
18,q7,4
19,q7,5
20,q7,4
1,q8,3
2,q8,4
3,q8,4
4,q8,5
5,q8,4
6,q8,4
7,q8,3
8,q8,5
9,q8,5
10,q8,5
11,q8,4
12,q8,4
13,q8,4
14,q8,1
15,q8,5
16,q8,5
17,q8,4
22,q8,5
18,q8,2
19,q8,4
20,q8,4
