system,question,rater,likert
0,1,1,3
0,1,2,5
0,1,3,3
0,1,4,3
0,1,5,3
0,1,6,1
0,1,7,3
0,1,8,5
0,1,9,3
0,1,10,4
0,1,11,5
0,1,12,4
0,1,13,3
0,1,14,3
0,1,15,4
0,1,16,4
0,1,17,2
0,1,18,4
0,1,19,4
0,1,20,4
0,1,21,3
0,1,22,5
0,1,23,4
0,1,24,3
0,1,25,3
0,1,26,3
0,1,27,3
1,1,1,1
1,1,2,5
1,1,3,2
1,1,4,5
1,1,5,4
1,1,6,5
1,1,7,4
1,1,8,5
1,1,9,2
1,1,10,4
1,1,11,4
1,1,12,2
1,1,13,4
1,1,14,3
1,1,15,4
1,1,16,5
1,1,17,4
1,1,18,4
1,1,19,2
1,1,20,4
1,1,21,2
1,1,22,5
1,1,23,2
1,1,24,2
1,1,25,3
1,1,26,3
1,1,27,2
2,1,1,2
2,1,2,5
2,1,3,4
2,1,4,5
2,1,5,4
2,1,6,2
2,1,7,5
2,1,8,5
2,1,9,4
2,1,10,5
2,1,11,5
2,1,12,5
2,1,13,5
2,1,14,3
2,1,15,5
2,1,16,5
2,1,17,3
2,1,18,4
2,1,19,5
2,1,20,4
2,1,21,5
2,1,22,5
2,1,23,4
2,1,24,5
2,1,25,5
2,1,26,4
2,1,27,5
0,2,1,3
0,2,2,5
0,2,3,3
0,2,4,5
0,2,5,3
0,2,6,1
0,2,7,4
0,2,8,5
0,2,9,4
0,2,10,4
0,2,11,5
0,2,12,4
0,2,13,2
0,2,14,4
0,2,15,5
0,2,16,3
0,2,17,3
0,2,18,4
0,2,19,4
0,2,20,5
0,2,21,3
0,2,22,5
0,2,23,3
0,2,24,3
0,2,25,2
0,2,26,4
0,2,27,2
1,2,1,4
1,2,2,5
1,2,3,3
1,2,4,4
1,2,5,5
1,2,6,4
1,2,7,5
1,2,8,5
1,2,9,2
1,2,10,4
1,2,11,5
1,2,12,2
1,2,13,2
1,2,14,3
1,2,15,4
1,2,16,4
1,2,17,4
1,2,18,4
1,2,19,1
1,2,20,4
1,2,21,2
1,2,22,5
1,2,23,3
1,2,24,3
1,2,25,2
1,2,26,2
1,2,27,1
2,2,1,2
2,2,2,5
2,2,3,3
2,2,4,5
2,2,5,5
2,2,6,5
2,2,7,5
2,2,8,5
2,2,9,4
2,2,10,5
2,2,11,5
2,2,12,5
2,2,13,4
2,2,14,4
2,2,15,5
2,2,16,5
2,2,17,3
2,2,18,5
2,2,19,5
2,2,20,3
2,2,21,5
2,2,22,5
2,2,23,5
2,2,24,4
2,2,25,4
2,2,26,5
2,2,27,4
0,3,1,4
0,3,2,4
0,3,3,2
0,3,4,3
0,3,5,3
0,3,6,1
0,3,7,4
0,3,8,5
0,3,9,3
0,3,10,2
0,3,11,5
0,3,12,4
0,3,13,3
0,3,14,1
0,3,15,4
0,3,16,2
0,3,17,2
0,3,18,2
0,3,19,4
0,3,20,4
0,3,21,4
0,3,22,4
0,3,23,4
0,3,24,4
0,3,25,3
0,3,26,3
0,3,27,2
1,3,1,1
1,3,2,2
1,3,3,2
1,3,4,4
1,3,5,4
1,3,6,3
1,3,7,4
1,3,8,2
1,3,9,2
1,3,10,4
1,3,11,5
1,3,12,3
1,3,13,4
1,3,14,3
1,3,15,4
1,3,16,5
1,3,17,3
1,3,18,3
1,3,19,2
1,3,20,3
1,3,21,2
1,3,22,3
1,3,23,2
1,3,24,2
1,3,25,3
1,3,26,2
1,3,27,1
2,3,1,4
2,3,2,4
2,3,3,4
2,3,4,4
2,3,5,3
2,3,6,4
2,3,7,5
2,3,8,4
2,3,9,4
2,3,10,4
2,3,11,5
2,3,12,5
2,3,13,5
2,3,14,2
2,3,15,5
2,3,16,5
2,3,17,4
2,3,18,4
2,3,19,5
2,3,20,2
2,3,21,5
2,3,22,5
2,3,23,5
2,3,24,4
2,3,25,5
2,3,26,5
2,3,27,4
0,4,1,4
0,4,2,5
0,4,3,2
0,4,4,4
0,4,5,5
0,4,6,3
0,4,7,4
0,4,8,1
0,4,9,2
0,4,10,4
0,4,11,5
0,4,12,4
0,4,13,2
0,4,14,2
0,4,15,5
0,4,16,3
0,4,17,4
0,4,18,5
0,4,19,2
0,4,20,5
0,4,21,5
0,4,22,5
0,4,23,4
0,4,24,4
0,4,25,2
0,4,26,3
0,4,27,4
1,4,1,2
1,4,2,5
1,4,3,2
1,4,4,2
1,4,5,5
1,4,6,3
1,4,7,4
1,4,8,1
1,4,9,2
1,4,10,4
1,4,11,3
1,4,12,2
1,4,13,5
1,4,14,4
1,4,15,4
1,4,16,5
1,4,17,4
1,4,18,5
1,4,19,3
1,4,20,4
1,4,21,3
1,4,22,5
1,4,23,3
1,4,24,4
1,4,25,2
1,4,26,3
1,4,27,5
2,4,1,3
2,4,2,4
2,4,3,4
2,4,4,5
2,4,5,5
2,4,6,3
2,4,7,2
2,4,8,5
2,4,9,4
2,4,10,5
2,4,11,5
2,4,12,5
2,4,13,2
2,4,14,4
2,4,15,5
2,4,16,5
2,4,17,4
2,4,18,4
2,4,19,4
2,4,20,3
2,4,21,5
2,4,22,5
2,4,23,5
2,4,24,5
2,4,25,5
2,4,26,5
2,4,27,5
0,5,1,3
0,5,2,4
0,5,3,2
0,5,4,3
0,5,5,4
0,5,6,1
0,5,7,4
0,5,8,5
0,5,9,4
0,5,10,3
0,5,11,3
0,5,12,4
0,5,13,3
0,5,14,2
0,5,15,4
0,5,16,4
0,5,17,2
0,5,18,2
0,5,19,3
0,5,20,3
0,5,21,3
0,5,22,4
0,5,23,4
0,5,24,3
0,5,25,3
0,5,26,4
0,5,27,2
1,5,1,2
1,5,2,2
1,5,3,2
1,5,4,3
1,5,5,4
1,5,6,2
1,5,7,4
1,5,8,2
1,5,9,3
1,5,10,4
1,5,11,5
1,5,12,3
1,5,13,4
1,5,14,3
1,5,15,4
1,5,16,5
1,5,17,3
1,5,18,2
1,5,19,2
1,5,20,3
1,5,21,2
1,5,22,3
1,5,23,5
1,5,24,3
1,5,25,2
1,5,26,3
1,5,27,1
2,5,1,1
2,5,2,4
2,5,3,4
2,5,4,5
2,5,5,4
2,5,6,2
2,5,7,5
2,5,8,3
2,5,9,4
2,5,10,5
2,5,11,5
2,5,12,5
2,5,13,4
2,5,14,2
2,5,15,5
2,5,16,5
2,5,17,3
2,5,18,4
2,5,19,5
2,5,20,2
2,5,21,4
2,5,22,5
2,5,23,4
2,5,24,5
2,5,25,5
2,5,26,5
2,5,27,4
0,6,1,2
0,6,2,3
0,6,3,2
0,6,4,2
0,6,5,3
0,6,6,1
0,6,7,3
0,6,8,5
0,6,9,3
0,6,10,2
0,6,11,4
0,6,12,4
0,6,13,2
0,6,14,2
0,6,15,4
0,6,16,4
0,6,17,3
0,6,18,3
0,6,19,3
0,6,20,5
0,6,21,2
0,6,22,4
0,6,23,3
0,6,24,3
0,6,25,3
0,6,26,2
0,6,27,2
1,6,1,1
1,6,2,1
1,6,3,2
1,6,4,4
1,6,5,3
1,6,6,2
1,6,7,4
1,6,8,2
1,6,9,3
1,6,10,4
1,6,11,5
1,6,12,3
1,6,13,4
1,6,14,2
1,6,15,5
1,6,16,5
1,6,17,3
1,6,18,2
1,6,19,2
1,6,20,4
1,6,21,2
1,6,22,3
1,6,23,2
1,6,24,3
1,6,25,3
1,6,26,2
1,6,27,1
2,6,1,1
2,6,2,3
2,6,3,4
2,6,4,5
2,6,5,3
2,6,6,3
2,6,7,5
2,6,8,3
2,6,9,4
2,6,10,4
2,6,11,5
2,6,12,5
2,6,13,4
2,6,14,2
2,6,15,5
2,6,16,4
2,6,17,3
2,6,18,4
2,6,19,5
2,6,20,3
2,6,21,5
2,6,22,5
2,6,23,5
2,6,24,4
2,6,25,4
2,6,26,3
2,6,27,4
0,7,1,3
0,7,2,2
0,7,3,3
0,7,4,2
0,7,5,3
0,7,6,1
0,7,7,3
0,7,8,5
0,7,9,4
0,7,10,3
0,7,11,3
0,7,12,5
0,7,13,4
0,7,14,3
0,7,15,3
0,7,16,5
0,7,17,2
0,7,18,2
0,7,19,5
0,7,20,4
0,7,21,1
0,7,22,2
0,7,23,4
0,7,24,4
0,7,25,4
0,7,26,3
0,7,27,2
1,7,1,2
1,7,2,2
1,7,3,2
1,7,4,2
1,7,5,4
1,7,6,2
1,7,7,3
1,7,8,5
1,7,9,3
1,7,10,3
1,7,11,5
1,7,12,4
1,7,13,4
1,7,14,3
1,7,15,4
1,7,16,5
1,7,17,3
1,7,18,1
1,7,19,3
1,7,20,4
1,7,21,1
1,7,22,3
1,7,23,3
1,7,24,2
1,7,25,2
1,7,26,3
1,7,27,1
2,7,1,2
2,7,2,3
2,7,3,3
2,7,4,4
2,7,5,3
2,7,6,3
2,7,7,5
2,7,8,5
2,7,9,4
2,7,10,5
2,7,11,5
2,7,12,5
2,7,13,5
2,7,14,3
2,7,15,5
2,7,16,3
2,7,17,4
2,7,18,2
2,7,19,5
2,7,20,2
2,7,21,4
2,7,22,3
2,7,23,5
2,7,24,5
2,7,25,4
2,7,26,4
2,7,27,3
0,8,1,1
0,8,2,3
0,8,3,2
0,8,4,3
0,8,5,3
0,8,6,1
0,8,7,3
0,8,8,5
0,8,9,4
0,8,10,2
0,8,11,3
0,8,12,4
0,8,13,3
0,8,14,3
0,8,15,4
0,8,16,5
0,8,17,2
0,8,18,4
0,8,19,4
0,8,20,4
0,8,21,4
0,8,22,5
0,8,23,4
0,8,24,3
0,8,25,4
0,8,26,4
0,8,27,2
1,8,1,2
1,8,2,2
1,8,3,2
1,8,4,2
1,8,5,4
1,8,6,3
1,8,7,4
1,8,8,5
1,8,9,3
1,8,10,4
1,8,11,5
1,8,12,2
1,8,13,5
1,8,14,3
1,8,15,5
1,8,16,4
1,8,17,4
1,8,18,4
1,8,19,2
1,8,20,4
1,8,21,2
1,8,22,5
1,8,23,4
1,8,24,2
1,8,25,3
1,8,26,2
1,8,27,2
2,8,1,1
2,8,2,4
2,8,3,4
2,8,4,5
2,8,5,4
2,8,6,3
2,8,7,5
2,8,8,5
2,8,9,4
2,8,10,5
2,8,11,5
2,8,12,5
2,8,13,5
2,8,14,3
2,8,15,5
2,8,16,5
2,8,17,3
2,8,18,4
2,8,19,5
2,8,20,2
2,8,21,4
2,8,22,5
2,8,23,5
2,8,24,4
2,8,25,5
2,8,26,5
2,8,27,4
0,9,1,1
0,9,2,5
0,9,3,2
0,9,4,3
0,9,5,4
0,9,6,1
0,9,7,4
0,9,8,5
0,9,9,4
0,9,10,4
0,9,11,3
0,9,12,3
0,9,13,4
0,9,14,2
0,9,15,3
0,9,16,4
0,9,17,2
0,9,18,3
0,9,19,3
0,9,20,4
0,9,21,3
0,9,22,5
0,9,23,3
0,9,24,4
0,9,25,3
0,9,26,3
0,9,27,3
1,9,1,1
1,9,2,1
1,9,3,2
1,9,4,3
1,9,5,4
1,9,6,2
1,9,7,4
1,9,8,5
1,9,9,4
1,9,10,4
1,9,11,5
1,9,12,1
1,9,13,5
1,9,14,2
1,9,15,3
1,9,16,5
1,9,17,2
1,9,18,2
1,9,19,1
1,9,20,4
1,9,21,1
1,9,22,4
1,9,23,2
1,9,24,3
1,9,25,3
1,9,26,2
1,9,27,1
2,9,1,1
2,9,2,5
2,9,3,4
2,9,4,5
2,9,5,3
2,9,6,3
2,9,7,5
2,9,8,5
2,9,9,4
2,9,10,5
2,9,11,4
2,9,12,4
2,9,13,5
2,9,14,1
2,9,15,5
2,9,16,5
2,9,17,2
2,9,18,3
2,9,19,5
2,9,20,3
2,9,21,3
2,9,22,5
2,9,23,4
2,9,24,4
2,9,25,4
2,9,26,4
2,9,27,5
0,10,1,5
0,10,2,5
0,10,3,4
0,10,4,4
0,10,5,4
0,10,6,1
0,10,7,5
0,10,8,5
0,10,9,4
0,10,10,5
0,10,11,4
0,10,12,5
0,10,13,3
0,10,14,2
0,10,15,5
0,10,16,5
0,10,17,2
0,10,18,3
0,10,19,5
0,10,20,5
0,10,21,3
0,10,22,5
0,10,23,4
0,10,24,4
0,10,25,3
0,10,26,4
0,10,27,3
1,10,1,1
1,10,2,3
1,10,3,3
1,10,4,4
1,10,5,4
1,10,6,2
1,10,7,5
1,10,8,5
1,10,9,4
1,10,10,5
1,10,11,5
1,10,12,3
1,10,13,5
1,10,14,2
1,10,15,5
1,10,16,5
1,10,17,3
1,10,18,4
1,10,19,3
1,10,20,5
1,10,21,3
1,10,22,4
1,10,23,2
1,10,24,1
1,10,25,1
1,10,26,3
1,10,27,1
2,10,1,3
2,10,2,5
2,10,3,4
2,10,4,4
2,10,5,4
2,10,6,5
2,10,7,5
2,10,8,5
2,10,9,5
2,10,10,5
2,10,11,4
2,10,12,5
2,10,13,4
2,10,14,1
2,10,15,5
2,10,16,5
2,10,17,3
2,10,18,3
2,10,19,5
2,10,20,4
2,10,21,4
2,10,22,5
2,10,23,4
2,10,24,5
2,10,25,5
2,10,26,3
2,10,27,5
