,ID,1,2,3,4,5,6,7,8,9,10,s
0,1,3,3,4,4,3,2,3,1,1,5,0
21,2,5,5,4,5,4,3,2,3,5,5,0
11,3,3,3,2,2,2,2,3,2,2,4,0
1,4,3,5,3,4,3,2,2,3,3,4,0
22,5,3,3,3,5,4,3,3,3,4,4,0
12,6,1,1,1,3,1,1,1,1,1,1,0
2,7,3,4,4,4,4,3,3,3,4,5,0
23,8,5,5,5,1,5,5,5,5,5,5,0
13,9,3,4,3,2,4,3,4,4,4,4,0
3,10,4,4,2,4,3,2,3,2,4,5,0
24,11,5,5,5,5,3,4,3,3,3,4,0
4,12,4,4,4,4,4,4,5,4,3,5,0
14,13,3,2,3,2,3,2,4,3,4,3,0
5,14,3,4,1,2,2,2,3,3,2,2,0
15,15,4,5,4,5,4,4,3,4,3,5,0
6,16,4,3,2,3,4,4,5,5,4,5,0
16,17,2,3,2,4,2,3,2,2,2,2,0
17,18,4,4,2,5,2,3,2,4,3,3,0
7,19,4,4,4,2,3,3,5,4,3,5,0
18,20,4,5,4,5,3,5,4,4,4,5,0
8,21,3,3,4,5,3,2,1,4,3,3,0
9,22,5,5,4,5,4,4,2,5,5,5,0
25,23,4,3,4,4,4,3,4,4,3,4,0
19,24,3,3,4,4,3,3,4,3,4,4,0
10,25,3,2,3,2,3,3,4,4,3,3,0
26,26,3,4,3,3,4,2,3,4,3,4,0
20,27,3,2,2,4,2,2,2,2,3,3,0
11,1,1,4,1,2,2,1,2,2,1,1,1
0,2,5,5,2,5,2,1,2,2,1,3,1
20,3,2,3,2,2,2,2,2,2,2,3,1
12,4,5,4,4,2,3,4,2,2,3,4,1
1,5,4,5,4,5,4,3,4,4,4,4,1
21,6,5,4,3,3,2,2,2,3,2,2,1
13,7,4,5,4,4,4,4,3,4,4,5,1
2,8,5,5,2,1,2,2,5,5,5,5,1
22,9,2,2,2,2,3,3,3,3,4,4,1
14,10,4,4,4,4,4,4,3,4,4,5,1
3,11,4,5,5,3,5,5,5,5,5,5,1
15,12,2,2,3,2,3,3,4,2,1,3,1
4,13,4,2,4,5,4,4,4,5,5,5,1
23,14,3,3,3,4,3,2,3,3,2,2,1
5,15,4,4,4,4,4,5,4,5,3,5,1
24,16,5,4,5,5,5,5,5,4,5,5,1
6,17,4,4,3,4,3,3,3,4,2,3,1
7,18,4,4,3,5,2,2,1,4,2,4,1
16,19,2,1,2,3,2,2,3,2,1,3,1
8,20,4,4,3,4,3,4,4,4,4,5,1
25,21,2,2,2,3,2,2,1,2,1,3,1
17,22,5,5,3,5,3,3,3,5,4,4,1
18,23,2,3,2,3,5,2,3,4,2,2,1
9,24,2,3,2,4,3,3,2,2,3,1,1
26,25,3,2,3,2,2,3,2,3,3,1,1
19,26,3,2,2,3,3,2,3,2,2,3,1
10,27,2,1,1,5,1,1,1,2,1,1,1
13,1,2,2,4,3,1,1,2,1,1,3,2
5,2,5,5,4,4,4,3,3,4,5,5,2
0,3,4,3,4,4,4,4,3,4,4,4,2
14,4,5,5,4,5,5,5,4,5,5,4,2
6,5,4,5,3,5,4,3,3,4,3,4,2
1,6,2,5,4,3,2,3,3,3,3,5,2
15,7,5,5,5,2,5,5,5,5,5,5,2
7,8,5,5,4,5,3,3,5,5,5,5,2
2,9,4,4,4,4,4,4,4,4,4,5,2
16,10,5,5,4,5,5,4,5,5,5,5,2
8,11,5,5,5,5,5,5,5,5,4,4,2
17,12,5,5,5,5,5,5,5,5,4,5,2
18,13,5,4,5,2,4,4,5,5,5,4,2
9,14,3,4,2,4,2,2,3,3,1,1,2
19,15,5,5,5,5,5,5,5,5,5,5,2
10,16,5,5,5,5,5,4,3,5,5,5,2
20,17,3,3,4,4,3,3,4,3,2,3,2
21,18,4,5,4,4,4,4,2,4,3,3,2
22,19,5,5,5,4,5,5,5,5,5,5,2
23,20,4,3,2,3,2,3,2,2,3,4,2
11,21,5,5,5,5,4,5,4,4,3,4,2
24,22,5,5,5,5,5,5,3,5,5,5,2
3,23,4,5,5,5,4,5,5,5,4,4,2
25,24,5,4,4,5,5,4,5,4,4,5,2
12,25,5,4,5,5,5,4,4,5,4,5,2
4,26,4,5,5,5,5,3,4,5,4,3,2
26,27,5,4,4,5,4,4,3,4,5,5,2
