nr,p1,p2,p3,i1_1,i1_2,i1_3,i2_1,i2_2,i2_3,i3_1,i3_2,i3_3
1,0,1,2,0,1,2,1,2,0,2,0,1
2,1,2,0,0,1,2,1,2,0,2,0,1
3,2,0,1,1,2,0,2,0,1,0,1,2
4,0,1,2,2,0,1,0,1,2,1,2,0
5,1,2,0,0,1,2,1,2,0,2,0,1
6,2,0,1,1,2,0,2,0,1,0,1,2
7,0,1,2,2,0,1,0,1,2,1,2,0
8,1,2,0,0,1,2,1,2,0,2,0,1
9,2,0,1,1,2,0,2,0,1,0,1,2
10,0,1,2,2,0,1,0,1,2,1,2,0
11,1,2,0,0,1,2,1,2,0,2,0,1
12,0,1,2,1,2,0,2,0,1,0,1,2
13,1,0,2,2,0,1,0,1,2,1,2,0
14,0,2,1,0,1,2,1,2,0,2,0,1
15,1,0,2,1,2,0,2,0,1,0,1,2
16,0,2,1,2,0,1,0,1,2,1,2,0
17,1,0,2,0,1,2,1,2,0,2,0,1
18,1,0,2,2,0,1,0,1,2,1,2,0
19,0,1,2,0,1,2,1,2,0,2,0,1
20,1,0,2,1,2,0,2,0,1,0,1,2
21,0,2,1,2,0,1,0,1,2,1,2,0
22,0,1,2,1,2,0,2,0,1,0,1,2
23,2,1,0,0,1,2,1,2,0,2,0,1
24,1,0,2,1,2,0,2,0,1,0,1,2
25,0,2,1,2,0,1,0,1,2,1,2,0
26,2,1,0,0,1,2,1,2,0,2,0,1
27,1,0,2,1,2,0,2,0,1,0,1,2
